index,Lever position (Lp),Ship speed (V) [knots],Gas Turbine shaft torque (GTT) [kN/m],Gas Turbine revolutions (GTn) [rpm],Gas Generator revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN/m],Port Propeller Torque (Tp) [kN/m],HP Turbine exit temperature (T48) [°C],Compressor inlet air temperature (T1) [°C],Compressor outlet air temperature (T2) [°C],HP Turbine exit pressure (P48) [bar],Compressor inlet air pressure (P1) [bar],Compressor outlet air pressure (P2) [bar],Exhaust gas pressure [bar],Turbine Injection Control (TIC) [%],Fuel flow (mf) [kg/s],Compressor decay coefficient,Turbine decay coefficient,Temp_ratio_T48_P48,Temp_ratio_T1_P1,Temp_ratio_T2_P2,Torque_diff,RPM_ratio_GTn_GGn,Fuel_per_RPM,Total_Prop_Torque,Power_Proxy_kW,Total_decay_score
454,3.13,9.0,9068.94,1426.46,7292.95,65.55,65.55,590.71,288.0,586.62,1.42,1.0,7.6,1.02,17.16,0.26,0.95,1.0,415.99,288.0,77.19,0.0,0.2,0.0,131.1,1354705.03,0.05
455,4.15,12.0,14916.07,1619.54,7842.17,116.5,116.5,644.53,288.0,611.54,1.7,1.0,9.04,1.02,18.12,0.36,0.95,1.0,379.14,288.0,67.65,0.0,0.21,0.0,233.0,2529733.14,0.05
456,5.16,15.0,22055.1,1926.35,8402.28,178.48,178.48,707.04,288.0,640.57,2.07,1.0,10.92,1.03,25.37,0.5,0.95,1.0,341.57,288.0,58.66,0.0,0.23,0.0,356.96,4449106.96,0.05
457,6.15,18.0,30137.78,2303.21,8837.29,251.22,251.22,770.25,288.0,669.16,2.51,1.0,13.08,1.03,34.32,0.68,0.95,1.0,306.87,288.0,51.16,0.0,0.26,0.0,502.44,7268978.99,0.05
458,7.18,21.0,39922.53,2690.95,9107.62,338.76,338.76,843.34,288.0,701.36,3.0,1.0,15.48,1.04,46.01,0.91,0.95,1.0,281.11,288.0,45.31,0.0,0.3,0.0,677.52,11249994.29,0.05
459,8.22,24.0,54250.77,3108.79,9422.07,471.74,471.74,950.01,288.0,739.57,3.66,1.0,18.53,1.04,64.67,1.28,0.95,1.0,259.57,288.0,39.91,0.0,0.33,0.0,943.48,17661431.89,0.05
460,6.21,18.0,41637.0,2677.51,8628.2,364.25,364.25,830.25,288.0,691.67,3.05,1.0,15.44,1.04,50.03,1.02,0.95,1.0,272.21,288.0,44.8,0.0,0.31,0.0,728.5,11674523.13,0.05
461,4.18,12.0,25946.57,2096.93,7809.65,225.8,225.8,701.35,288.0,634.27,2.28,1.0,11.58,1.03,37.1,0.69,0.95,1.0,307.61,288.0,54.77,0.0,0.27,0.0,451.6,5697607.21,0.05
462,2.12,6.0,4479.37,1372.27,6935.96,30.85,30.85,531.9,288.0,566.99,1.25,1.0,6.66,1.02,11.18,0.17,0.95,1.0,425.52,288.0,85.13,0.0,0.2,0.0,61.7,643702.39,0.05
463,3.13,9.0,9010.48,1426.69,7295.5,65.61,65.61,588.17,288.0,586.24,1.42,1.0,7.58,1.02,16.86,0.26,0.95,1.0,414.2,288.0,77.34,0.0,0.2,0.0,131.22,1346189.39,0.05
464,4.15,12.0,14916.1,1619.54,7844.02,116.51,116.51,643.67,288.0,611.38,1.7,1.0,9.03,1.02,18.08,0.36,0.95,1.0,378.63,288.0,67.71,0.0,0.21,0.0,233.02,2529738.22,0.05
465,5.16,15.0,22055.05,1926.35,8403.61,178.49,178.49,706.09,288.0,640.38,2.07,1.0,10.91,1.03,25.31,0.5,0.95,1.0,341.11,288.0,58.7,0.0,0.23,0.0,356.98,4449096.87,0.05
466,6.15,18.0,30137.62,2303.21,8838.1,251.25,251.25,769.25,288.0,668.98,2.5,1.0,13.06,1.03,34.25,0.68,0.95,1.0,307.7,288.0,51.22,0.0,0.26,0.0,502.5,7268940.4,0.05
467,7.18,21.0,39922.4,2690.94,9108.26,338.8,338.8,842.32,288.0,701.19,3.0,1.0,15.46,1.04,45.93,0.91,0.95,1.0,280.77,288.0,45.36,0.0,0.3,0.0,677.6,11249915.85,0.05
468,8.22,24.0,54250.15,3108.78,9422.59,471.76,471.76,949.06,288.0,739.42,3.66,1.0,18.51,1.04,64.58,1.28,0.95,1.0,259.31,288.0,39.95,0.0,0.33,0.0,943.52,17661173.24,0.05
469,6.21,18.0,41394.86,2660.1,8594.97,363.26,363.26,832.02,288.0,691.28,3.04,1.0,15.41,1.04,55.74,1.02,0.95,0.99,273.69,288.0,44.86,0.0,0.31,0.0,726.52,11531160.03,0.06
470,4.18,12.0,26712.35,2087.3,7759.1,226.25,226.25,735.42,288.0,639.11,2.3,1.0,11.8,1.03,40.5,0.73,0.95,0.98,319.75,288.0,54.16,0.0,0.27,0.0,452.5,5838826.73,0.07
471,2.12,6.0,5244.73,1362.65,6862.81,31.29,31.29,572.87,288.0,573.04,1.27,1.0,6.94,1.02,14.89,0.22,0.95,0.98,451.08,288.0,82.57,0.0,0.2,0.0,62.58,748403.96,0.07
472,3.13,9.0,10016.7,1434.46,7238.25,67.02,67.02,633.91,288.0,593.85,1.46,1.0,7.95,1.02,15.14,0.3,0.95,0.98,434.18,288.0,74.7,0.0,0.2,0.0,134.04,1504671.61,0.07
473,4.15,12.0,14913.0,1619.51,7795.99,116.49,116.49,665.33,288.0,615.23,1.71,1.0,9.26,1.02,19.15,0.38,0.95,0.98,389.08,288.0,66.44,0.0,0.21,0.0,232.98,2529165.62,0.07
474,5.16,15.0,22050.7,1926.4,8368.99,178.44,178.44,730.09,288.0,644.81,2.08,1.0,11.19,1.03,26.7,0.53,0.95,0.98,351.0,288.0,57.62,0.0,0.23,0.0,356.88,4448334.82,0.07
475,6.15,18.0,30137.14,2303.27,8816.8,251.25,251.25,794.38,288.0,673.45,2.52,1.0,13.42,1.03,35.95,0.71,0.95,0.98,315.23,288.0,50.18,0.0,0.26,0.0,502.5,7269013.99,0.07
476,7.18,21.0,39923.99,2691.02,9091.63,338.82,338.82,867.83,288.0,705.44,3.02,1.0,15.89,1.04,47.96,0.95,0.95,0.98,287.36,288.0,44.4,0.0,0.3,0.0,677.64,11250698.37,0.07
477,8.22,24.0,54247.52,3108.68,9408.29,471.71,471.71,972.52,288.0,742.93,3.68,1.0,19.05,1.04,66.34,1.32,0.95,0.98,264.27,288.0,39.0,0.0,0.33,0.0,943.42,17659748.96,0.07
478,6.21,18.0,41356.82,2666.14,8589.85,363.52,363.52,842.34,288.0,693.2,3.06,1.0,15.8,1.04,53.18,1.05,0.95,0.98,275.27,288.0,43.87,0.0,0.31,0.0,727.04,11546721.91,0.07
479,4.18,12.0,26671.55,2093.21,7758.03,226.45,226.45,737.14,288.0,639.76,2.31,1.0,12.01,1.03,37.08,0.73,0.95,0.98,319.11,288.0,53.27,0.0,0.27,0.0,452.9,5846415.46,0.07
480,2.12,6.0,5210.36,1368.66,6869.23,31.6,31.6,567.41,288.0,572.64,1.27,1.0,6.93,1.02,11.13,0.21,0.95,0.98,446.78,288.0,82.63,0.0,0.2,0.0,63.2,746778.7,0.07
481,3.13,9.0,10014.64,1434.32,7240.53,66.99,66.99,633.01,288.0,593.68,1.46,1.0,7.94,1.02,15.04,0.3,0.95,0.98,433.57,288.0,74.77,0.0,0.2,0.0,133.98,1504215.34,0.07
482,4.15,12.0,14913.05,1619.51,7797.82,116.47,116.47,664.42,288.0,615.06,1.71,1.0,9.25,1.02,19.1,0.38,0.95,0.98,388.55,288.0,66.49,0.0,0.21,0.0,232.94,2529174.1,0.07
483,5.16,15.0,22050.84,1926.4,8370.3,178.43,178.43,729.08,288.0,644.62,2.08,1.0,11.18,1.03,26.64,0.53,0.95,0.98,350.52,288.0,57.66,0.0,0.23,0.0,356.86,4448363.06,0.07
484,6.15,18.0,30137.12,2303.27,8817.61,251.19,251.19,793.32,288.0,673.25,2.52,1.0,13.4,1.03,35.88,0.71,0.95,0.98,314.81,288.0,50.24,0.0,0.26,0.0,502.38,7269009.16,0.07
485,7.18,21.0,39924.14,2691.02,9092.27,338.8,338.8,866.75,288.0,705.25,3.01,1.0,15.88,1.04,47.88,0.95,0.95,0.98,287.96,288.0,44.41,0.0,0.3,0.0,677.6,11250740.64,0.07
486,8.22,24.0,54247.75,3108.68,9408.85,471.75,471.75,971.52,288.0,742.76,3.68,1.0,19.03,1.04,66.29,1.32,0.95,0.98,264.0,288.0,39.03,0.0,0.33,0.0,943.5,17659823.84,0.07
487,6.21,18.0,41412.43,2669.29,8593.23,363.77,363.77,842.31,288.0,693.39,3.06,1.0,15.8,1.04,51.41,1.05,0.95,0.98,275.26,288.0,43.89,0.0,0.31,0.0,727.54,11575908.68,0.07
488,4.18,12.0,26678.18,2094.46,7760.97,226.33,226.33,736.4,288.0,639.76,2.31,1.0,12.0,1.03,36.41,0.73,0.95,0.98,318.79,288.0,53.31,0.0,0.27,0.0,452.66,5851360.92,0.07
489,2.12,6.0,5216.8,1369.91,6872.77,31.43,31.43,566.69,288.0,572.64,1.27,1.0,6.92,1.02,10.45,0.21,0.95,0.98,446.21,288.0,82.75,0.0,0.2,0.0,62.86,748384.6,0.07
490,3.13,9.0,9965.86,1432.44,7241.75,66.64,66.64,631.37,288.0,593.32,1.46,1.0,7.93,1.02,16.08,0.3,0.95,0.98,432.45,288.0,74.82,0.0,0.2,0.0,133.28,1494926.5,0.07
491,4.15,12.0,14913.25,1619.51,7799.66,116.48,116.48,663.51,288.0,614.89,1.71,1.0,9.24,1.02,19.06,0.38,0.95,0.98,388.02,288.0,66.55,0.0,0.21,0.0,232.96,2529208.02,0.07
492,5.16,15.0,22051.13,1926.39,8371.63,178.43,178.43,728.07,288.0,644.43,2.08,1.0,11.17,1.03,26.59,0.53,0.95,0.98,350.03,288.0,57.69,0.0,0.23,0.0,356.86,4448398.47,0.07
493,6.15,18.0,30137.24,2303.27,8818.43,251.21,251.21,792.26,288.0,673.06,2.51,1.0,13.39,1.03,35.81,0.71,0.95,0.98,315.64,288.0,50.27,0.0,0.26,0.0,502.42,7269038.11,0.07
494,7.18,21.0,39924.21,2691.03,9092.91,338.82,338.82,865.68,288.0,705.06,3.01,1.0,15.86,1.04,47.79,0.95,0.95,0.98,287.6,288.0,44.46,0.0,0.3,0.0,677.64,11250802.18,0.07
495,8.22,24.0,54247.82,3108.7,9409.4,471.75,471.75,970.52,288.0,742.6,3.68,1.0,19.01,1.04,66.23,1.32,0.95,0.98,263.73,288.0,39.06,0.0,0.33,0.0,943.5,17659960.24,0.07
496,6.21,18.0,41563.29,2675.45,8598.71,364.12,364.12,845.93,288.0,694.17,3.07,1.0,15.82,1.04,51.01,1.05,0.95,0.98,275.55,288.0,43.88,0.0,0.31,0.0,728.24,11644889.57,0.07
497,4.18,12.0,26797.69,2099.83,7766.68,226.53,226.53,739.44,288.0,640.4,2.31,1.0,12.02,1.03,36.32,0.73,0.95,0.98,320.1,288.0,53.28,0.0,0.27,0.0,453.06,5892642.76,0.07
498,2.12,6.0,5336.25,1375.28,6879.09,31.65,31.65,569.76,288.0,573.28,1.28,1.0,6.95,1.02,10.35,0.21,0.95,0.98,445.12,288.0,82.49,0.0,0.2,0.0,63.3,768521.31,0.07
499,3.13,9.0,9934.71,1431.65,7243.64,66.5,66.5,629.86,288.0,593.03,1.46,1.0,7.91,1.02,16.33,0.3,0.95,0.98,431.41,288.0,74.97,0.0,0.2,0.0,133.0,1489431.96,0.07
500,4.15,12.0,14913.24,1619.51,7801.5,116.49,116.49,662.6,288.0,614.73,1.71,1.0,9.23,1.02,19.02,0.38,0.95,0.98,387.49,288.0,66.6,0.0,0.21,0.0,232.98,2529206.32,0.07
501,5.16,15.0,22051.16,1926.39,8372.94,178.45,178.45,727.06,288.0,644.24,2.08,1.0,11.16,1.03,26.53,0.53,0.95,0.98,349.55,288.0,57.73,0.0,0.23,0.0,356.9,4448404.52,0.07
502,6.15,18.0,30137.1,2303.26,8819.25,251.23,251.23,791.2,288.0,672.86,2.51,1.0,13.37,1.03,35.74,0.71,0.95,0.98,315.22,288.0,50.33,0.0,0.26,0.0,502.46,7268972.78,0.07
503,7.18,21.0,39924.25,2691.03,9093.54,338.82,338.82,864.61,288.0,704.88,3.01,1.0,15.84,1.04,47.71,0.94,0.95,0.98,287.25,288.0,44.5,0.0,0.3,0.0,677.64,11250813.45,0.07
504,8.22,24.0,54248.24,3108.7,9409.96,471.66,471.66,969.53,288.0,742.44,3.68,1.0,18.98,1.04,66.17,1.32,0.95,0.98,263.46,288.0,39.12,0.0,0.33,0.0,943.32,17660096.97,0.07
505,6.21,18.0,41743.36,2680.96,8603.79,364.35,364.35,850.47,288.0,695.13,3.07,1.0,15.84,1.04,50.98,1.05,0.95,0.98,277.03,288.0,43.88,0.0,0.31,0.0,728.7,11719426.39,0.07
506,4.18,12.0,26955.02,2104.79,7772.16,226.68,226.68,743.58,288.0,641.28,2.32,1.0,12.04,1.03,36.58,0.74,0.95,0.98,320.51,288.0,53.26,0.0,0.27,0.0,453.36,5941239.34,0.07
507,2.12,6.0,5493.14,1380.24,6885.16,31.88,31.88,573.92,288.0,574.15,1.28,1.0,6.98,1.02,10.59,0.22,0.95,0.98,448.37,288.0,82.26,0.0,0.2,0.0,63.76,793969.64,0.07
508,3.13,9.0,9912.13,1431.11,7245.69,66.41,66.41,628.54,288.0,592.79,1.45,1.0,7.9,1.02,16.56,0.3,0.95,0.98,433.48,288.0,75.04,0.0,0.2,0.0,132.82,1485486.21,0.07
509,4.15,12.0,14913.5,1619.51,7803.34,116.48,116.48,661.7,288.0,614.56,1.71,1.0,9.22,1.02,18.97,0.38,0.95,0.98,386.96,288.0,66.66,0.0,0.21,0.0,232.96,2529250.42,0.07
510,5.16,15.0,22051.47,1926.38,8374.27,178.46,178.46,726.06,288.0,644.05,2.08,1.0,11.14,1.03,26.47,0.52,0.95,0.98,349.07,288.0,57.81,0.0,0.23,0.0,356.92,4448443.97,0.07
511,6.15,18.0,30137.23,2303.26,8820.06,251.25,251.25,790.15,288.0,672.67,2.51,1.0,13.36,1.03,35.67,0.71,0.95,0.98,314.8,288.0,50.35,0.0,0.26,0.0,502.5,7269004.14,0.07
512,7.18,21.0,39924.28,2691.02,9094.17,338.86,338.86,863.54,288.0,704.69,3.01,1.0,15.82,1.04,47.62,0.94,0.95,0.98,286.89,288.0,44.54,0.0,0.3,0.0,677.72,11250780.1,0.07
513,8.22,24.0,54248.59,3108.7,9410.51,471.74,471.74,968.54,288.0,742.28,3.68,1.0,18.96,1.04,66.11,1.32,0.95,0.98,263.19,288.0,39.15,0.0,0.33,0.0,943.48,17660210.91,0.07
514,6.21,18.0,41908.79,2684.38,8607.47,364.62,364.62,854.67,288.0,695.89,3.08,1.0,15.86,1.04,50.95,1.06,0.95,0.98,277.49,288.0,43.88,0.0,0.31,0.0,729.24,11780880.06,0.07
515,4.18,12.0,27112.74,2108.09,7776.48,226.92,226.92,747.68,288.0,642.03,2.33,1.0,12.07,1.03,36.67,0.74,0.95,0.98,320.89,288.0,53.19,0.0,0.27,0.0,453.84,5985372.38,0.07
516,2.12,6.0,5650.5,1383.54,6890.08,32.06,32.06,578.05,288.0,574.9,1.29,1.0,7.01,1.02,10.68,0.22,0.95,0.98,448.1,288.0,82.01,0.0,0.2,0.0,64.12,818666.87,0.07
517,3.13,9.0,9904.54,1430.99,7247.99,66.38,66.38,627.52,288.0,592.61,1.45,1.0,7.89,1.02,16.63,0.3,0.95,0.98,432.77,288.0,75.11,0.0,0.2,0.0,132.76,1484224.26,0.07
518,4.15,12.0,14913.65,1619.52,7805.17,116.48,116.48,660.79,288.0,614.4,1.71,1.0,9.21,1.02,18.93,0.37,0.95,0.98,386.43,288.0,66.71,0.0,0.21,0.0,232.96,2529291.48,0.07
519,5.16,15.0,22051.73,1926.38,8375.59,178.46,178.46,725.06,288.0,643.86,2.08,1.0,11.13,1.03,26.41,0.52,0.95,0.98,348.59,288.0,57.85,0.0,0.23,0.0,356.92,4448496.42,0.07
520,6.15,18.0,30137.35,2303.26,8820.89,251.26,251.26,789.11,288.0,672.47,2.51,1.0,13.34,1.03,35.6,0.7,0.95,0.98,314.39,288.0,50.41,0.0,0.26,0.0,502.52,7269033.08,0.07
521,7.18,21.0,39924.33,2691.03,9094.81,338.88,338.88,862.48,288.0,704.5,3.01,1.0,15.81,1.04,47.54,0.94,0.95,0.98,286.54,288.0,44.56,0.0,0.3,0.0,677.76,11250836.0,0.07
522,8.22,24.0,54248.58,3108.71,9411.06,471.69,471.69,967.55,288.0,742.12,3.68,1.0,18.94,1.04,66.05,1.31,0.95,0.98,262.92,288.0,39.18,0.0,0.33,0.0,943.38,17660264.46,0.07
523,6.21,18.0,41992.14,2685.88,8609.74,364.66,364.66,856.36,288.0,696.2,3.08,1.0,15.86,1.04,50.91,1.06,0.95,0.98,278.04,288.0,43.9,0.0,0.31,0.0,729.32,11810906.49,0.07
524,4.18,12.0,27130.67,2108.51,7778.83,226.75,226.75,747.97,288.0,642.08,2.33,1.0,12.06,1.03,37.1,0.74,0.95,0.98,321.02,288.0,53.24,0.0,0.27,0.0,453.5,5990523.86,0.07
525,2.12,6.0,5668.36,1383.96,6893.03,31.96,31.96,578.36,288.0,574.95,1.29,1.0,7.01,1.02,11.09,0.22,0.95,0.98,448.34,288.0,82.02,0.0,0.2,0.0,63.92,821503.81,0.07
526,3.13,9.0,9839.21,1429.92,7249.72,66.19,66.19,625.2,288.0,592.2,1.45,1.0,7.87,1.02,17.03,0.3,0.95,0.98,431.17,288.0,75.25,0.0,0.2,0.0,132.38,1473331.89,0.07
527,4.15,12.0,14913.79,1619.52,7807.01,116.48,116.48,659.89,288.0,614.23,1.71,1.0,9.21,1.02,18.88,0.37,0.95,0.98,385.9,288.0,66.69,0.0,0.21,0.0,232.96,2529315.22,0.07
528,5.16,15.0,22051.93,1926.38,8376.91,178.46,178.46,724.06,288.0,643.67,2.08,1.0,11.12,1.03,26.36,0.52,0.95,0.98,348.11,288.0,57.88,0.0,0.23,0.0,356.92,4448536.76,0.07
529,6.15,18.0,30137.4,2303.25,8821.7,251.26,251.26,788.06,288.0,672.28,2.51,1.0,13.33,1.03,35.52,0.7,0.95,0.98,313.97,288.0,50.43,0.0,0.26,0.0,502.52,7269013.58,0.07
530,7.18,21.0,39924.31,2691.02,9095.44,338.83,338.83,861.42,288.0,704.32,3.01,1.0,15.79,1.04,47.46,0.94,0.95,0.98,286.19,288.0,44.61,0.0,0.3,0.0,677.66,11250788.55,0.07
531,8.22,24.0,54248.78,3108.71,9411.61,471.74,471.74,966.56,288.0,741.96,3.68,1.0,18.92,1.04,65.99,1.31,0.95,0.98,262.65,288.0,39.22,0.0,0.33,0.0,943.48,17660329.57,0.07
532,6.21,18.0,42205.95,2687.99,8612.56,364.84,364.84,862.09,288.0,697.18,3.09,1.0,15.89,1.04,50.88,1.07,0.95,0.98,278.99,288.0,43.88,0.0,0.31,0.0,729.68,11880369.46,0.07
533,4.18,12.0,27353.9,2110.8,7782.48,227.02,227.02,753.94,288.0,643.09,2.34,1.0,12.1,1.03,36.92,0.75,0.95,0.98,322.2,288.0,53.15,0.0,0.27,0.0,454.04,6046373.32,0.07
534,2.12,6.0,5891.32,1386.25,6897.28,32.12,32.12,584.35,288.0,575.95,1.3,1.0,7.05,1.02,10.9,0.23,0.95,0.98,449.5,288.0,81.7,0.0,0.2,0.0,64.24,855229.73,0.07
535,3.13,9.0,9848.7,1430.1,7252.21,66.22,66.22,624.52,288.0,592.07,1.45,1.0,7.86,1.02,16.82,0.29,0.95,0.98,430.7,288.0,75.33,0.0,0.2,0.0,132.44,1474938.57,0.07
536,4.15,12.0,14913.79,1619.52,7808.85,116.49,116.49,658.99,288.0,614.07,1.71,1.0,9.2,1.02,18.84,0.37,0.95,0.98,385.37,288.0,66.75,0.0,0.21,0.0,232.98,2529315.22,0.07
537,5.16,15.0,22052.02,1926.38,8378.23,178.46,178.46,723.06,288.0,643.48,2.08,1.0,11.11,1.03,26.3,0.52,0.95,0.98,347.62,288.0,57.92,0.0,0.23,0.0,356.92,4448554.92,0.07
538,6.15,18.0,30137.33,2303.25,8822.51,251.25,251.25,787.02,288.0,672.09,2.51,1.0,13.32,1.03,35.46,0.7,0.95,0.98,313.55,288.0,50.46,0.0,0.26,0.0,502.5,7268996.7,0.07
539,7.18,21.0,39924.29,2691.02,9096.07,338.8,338.8,860.36,288.0,704.13,3.01,1.0,15.77,1.04,47.37,0.94,0.95,0.98,285.83,288.0,44.65,0.0,0.3,0.0,677.6,11250782.92,0.07
540,8.22,24.0,54248.78,3108.71,9412.15,471.67,471.67,965.58,288.0,741.81,3.67,1.0,18.9,1.04,65.93,1.31,0.95,0.98,263.1,288.0,39.25,0.0,0.33,0.0,943.34,17660329.57,0.07
541,6.21,18.0,42449.09,2688.86,8614.52,364.84,364.84,868.62,288.0,698.17,3.1,1.0,15.92,1.04,50.85,1.07,0.95,0.98,280.2,288.0,43.85,0.0,0.31,0.0,729.68,11952677.26,0.07
542,4.18,12.0,27524.57,2110.73,7784.59,226.84,226.84,758.87,288.0,643.81,2.34,1.0,12.12,1.03,37.35,0.76,0.95,0.98,324.3,288.0,53.12,0.0,0.27,0.0,453.68,6083896.87,0.07
543,2.12,6.0,6061.9,1386.18,6900.0,32.01,32.01,589.31,288.0,576.68,1.31,1.0,7.08,1.02,11.33,0.24,0.95,0.98,449.85,288.0,81.45,0.0,0.2,0.0,64.02,879948.01,0.07
544,3.13,9.0,9776.31,1429.16,7254.01,66.05,66.05,622.02,288.0,591.65,1.45,1.0,7.84,1.02,17.24,0.29,0.95,0.98,428.98,288.0,75.47,0.0,0.2,0.0,132.1,1463135.12,0.07
545,4.15,12.0,14913.96,1619.52,7810.69,116.5,116.5,658.1,288.0,613.9,1.71,1.0,9.19,1.02,18.79,0.37,0.95,0.98,384.85,288.0,66.8,0.0,0.21,0.0,233.0,2529344.05,0.07
546,5.16,15.0,22052.23,1926.37,8379.55,178.48,178.48,722.07,288.0,643.29,2.08,1.0,11.1,1.03,26.24,0.52,0.95,0.98,347.15,288.0,57.95,0.0,0.23,0.0,356.96,4448574.19,0.07
547,6.15,18.0,30137.3,2303.25,8823.33,251.28,251.28,785.98,288.0,671.9,2.51,1.0,13.3,1.03,35.38,0.7,0.95,0.98,313.14,288.0,50.52,0.0,0.26,0.0,502.56,7268989.46,0.07
548,7.18,21.0,39924.14,2691.01,9096.71,338.83,338.83,859.3,288.0,703.94,3.01,1.0,15.76,1.04,47.29,0.94,0.95,0.98,285.48,288.0,44.67,0.0,0.3,0.0,677.66,11250698.84,0.07
549,8.22,24.0,54248.92,3108.71,9412.7,471.65,471.65,964.59,288.0,741.65,3.67,1.0,18.87,1.04,65.87,1.31,0.95,0.98,262.83,288.0,39.3,0.0,0.33,0.0,943.3,17660375.15,0.07
550,6.21,18.0,42739.51,2688.17,8615.48,364.77,364.77,876.49,288.0,699.29,3.11,1.0,15.96,1.04,50.82,1.08,0.95,0.98,281.83,288.0,43.82,0.0,0.31,0.0,729.54,12031364.57,0.07
551,4.18,12.0,27774.41,2109.51,7785.96,226.68,226.68,765.89,288.0,644.8,2.35,1.0,12.15,1.03,37.62,0.76,0.95,0.98,325.91,288.0,53.07,0.0,0.27,0.0,453.36,6135571.88,0.07
552,2.12,6.0,6311.39,1384.96,6901.98,31.87,31.87,596.35,288.0,577.66,1.32,1.0,7.12,1.02,11.58,0.24,0.95,0.98,451.78,288.0,81.13,0.0,0.2,0.0,63.74,915357.76,0.07
553,3.13,9.0,9735.75,1428.63,7256.08,65.95,65.95,620.25,288.0,591.35,1.45,1.0,7.83,1.02,17.47,0.29,0.95,0.98,427.76,288.0,75.52,0.0,0.2,0.0,131.9,1456524.51,0.07
554,4.15,12.0,14914.07,1619.52,7812.53,116.48,116.48,657.2,288.0,613.74,1.71,1.0,9.18,1.02,18.75,0.37,0.95,0.98,384.33,288.0,66.86,0.0,0.21,0.0,232.96,2529362.71,0.07
555,5.16,15.0,22052.41,1926.37,8380.88,178.46,178.46,721.08,288.0,643.1,2.08,1.0,11.09,1.03,26.19,0.52,0.95,0.98,346.67,288.0,57.99,0.0,0.23,0.0,356.92,4448610.5,0.07
556,6.15,18.0,30137.28,2303.24,8824.15,251.25,251.25,784.94,288.0,671.7,2.51,1.0,13.29,1.03,35.32,0.7,0.95,0.98,312.73,288.0,50.54,0.0,0.26,0.0,502.5,7268953.08,0.07
557,7.18,21.0,39924.03,2691.01,9097.34,338.84,338.84,858.24,288.0,703.76,3.01,1.0,15.74,1.04,47.21,0.93,0.95,0.98,285.13,288.0,44.71,0.0,0.3,0.0,677.68,11250667.84,0.07
558,8.22,24.0,54248.75,3108.71,9413.24,471.67,471.67,963.61,288.0,741.49,3.67,1.0,18.85,1.04,65.81,1.31,0.95,0.98,262.56,288.0,39.34,0.0,0.33,0.0,943.34,17660319.8,0.07
559,6.21,18.0,43144.82,2684.47,8614.55,364.58,364.58,887.23,288.0,700.72,3.12,1.0,16.01,1.04,50.78,1.09,0.95,0.98,284.37,288.0,43.77,0.0,0.31,0.0,729.16,12128744.13,0.07
560,4.18,12.0,28162.63,2105.68,7785.68,226.43,226.43,776.26,288.0,646.15,2.36,1.0,12.21,1.03,37.61,0.78,0.95,0.98,328.92,288.0,52.92,0.0,0.27,0.0,452.86,6210037.17,0.07
561,2.12,6.0,6699.6,1381.12,6902.3,31.63,31.63,606.75,288.0,579.01,1.33,1.0,7.18,1.02,11.56,0.26,0.95,0.98,456.2,288.0,80.64,0.0,0.2,0.0,63.26,968966.82,0.07
562,3.13,9.0,9718.66,1428.5,7258.38,65.93,65.93,618.98,288.0,591.12,1.45,1.0,7.82,1.02,17.45,0.29,0.95,0.98,426.88,288.0,75.59,0.0,0.2,0.0,131.86,1453835.44,0.07
563,4.15,12.0,14914.15,1619.52,7814.37,116.5,116.5,656.31,288.0,613.57,1.71,1.0,9.17,1.02,18.71,0.37,0.95,0.98,383.81,288.0,66.91,0.0,0.21,0.0,233.0,2529376.27,0.07
564,5.16,15.0,22052.57,1926.37,8382.2,178.46,178.46,720.09,288.0,642.91,2.08,1.0,11.08,1.03,26.13,0.52,0.95,0.98,346.2,288.0,58.02,0.0,0.23,0.0,356.92,4448642.78,0.07
565,6.15,18.0,30137.31,2303.24,8824.97,251.25,251.25,783.9,288.0,671.51,2.51,1.0,13.27,1.03,35.25,0.7,0.95,0.98,312.31,288.0,50.6,0.0,0.26,0.0,502.5,7268960.31,0.07
566,7.18,21.0,39923.99,2691.0,9097.98,338.82,338.82,857.19,288.0,703.58,3.01,1.0,15.72,1.04,47.12,0.93,0.95,0.98,284.78,288.0,44.76,0.0,0.3,0.0,677.64,11250614.76,0.07
567,8.22,24.0,54249.25,3108.71,9413.78,471.66,471.66,962.63,288.0,741.34,3.67,1.0,18.83,1.04,65.75,1.3,0.95,0.98,262.3,288.0,39.37,0.0,0.33,0.0,943.32,17660482.58,0.07
568,6.21,18.0,43308.37,2682.35,8614.52,364.44,364.44,890.98,288.0,701.13,3.12,1.0,16.02,1.04,50.75,1.1,0.95,0.99,285.57,288.0,43.77,0.0,0.31,0.0,728.88,12165106.11,0.06
569,4.18,12.0,28275.38,2103.15,7786.11,226.23,226.23,778.81,288.0,646.37,2.36,1.0,12.21,1.03,37.71,0.78,0.95,0.99,330.0,288.0,52.94,0.0,0.27,0.0,452.46,6227407.95,0.06
570,2.12,6.0,6811.75,1378.59,6903.34,31.43,31.43,609.32,288.0,579.22,1.33,1.0,7.19,1.02,11.65,0.26,0.95,0.99,458.14,288.0,80.56,0.0,0.2,0.0,62.86,983382.42,0.06
571,3.13,9.0,9667.92,1428.08,7260.51,65.86,65.86,616.87,288.0,590.77,1.45,1.0,7.8,1.02,17.52,0.29,0.95,0.99,425.43,288.0,75.74,0.0,0.2,0.0,131.72,1445819.92,0.06
