id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine,temp_ratio_t48_p48,temp_ratio_t1_p1,temp_ratio_t2_p2,torque_diff,rpm_ratio_gtn_ggn,fuel_per_rpm,total_prop_torque,power_proxy_kw,total_decay_score
3717,7.18,21.0,41437.89,2700.96,9110.26,353.93,353.93,846.92,288.0,699.47,3.06,1.0,15.77,1.04,47.95,0.95,0.96,1.0,276.77,288.0,44.35,0.0,0.3,0.0,707.86,11720453.16,0.04
3718,7.2,21.0,45253.06,2818.5,9033.52,391.19,391.19,867.84,288.0,706.7,3.25,1.0,16.56,1.04,55.67,1.06,0.96,1.0,267.03,288.0,42.68,0.0,0.31,0.0,782.38,13356559.67,0.04
3719,6.2,18.0,40507.68,2617.05,8592.24,353.78,353.78,818.56,288.0,684.12,3.0,1.0,15.24,1.04,53.07,0.99,0.96,1.0,272.85,288.0,44.89,0.0,0.3,0.0,707.56,11101406.58,0.04
3720,4.17,12.0,23830.61,2034.85,7752.56,207.08,207.08,679.37,288.0,626.86,2.19,1.0,11.24,1.03,35.77,0.62,0.96,1.0,310.21,288.0,55.77,0.0,0.26,0.0,414.16,5078040.7,0.04
3721,3.14,9.0,12904.21,1628.89,7309.82,108.62,108.62,594.76,288.0,591.97,1.65,1.0,8.6,1.02,20.12,0.36,0.96,1.0,360.46,288.0,68.83,0.0,0.22,0.0,217.24,2201160.94,0.04
3722,3.13,9.0,9312.64,1473.19,7323.64,71.93,71.93,578.1,288.0,584.86,1.46,1.0,7.75,1.02,13.45,0.25,0.96,1.0,395.96,288.0,75.47,0.0,0.2,0.0,143.86,1436680.49,0.04
3723,4.15,12.0,15256.19,1661.29,7819.81,120.86,120.86,637.58,288.0,609.55,1.74,1.0,9.19,1.02,17.74,0.36,0.96,1.0,366.43,288.0,66.33,0.0,0.21,0.0,241.72,2654117.57,0.04
3724,5.15,15.0,22367.42,1949.71,8339.56,182.07,182.07,700.93,288.0,637.15,2.1,1.0,11.04,1.03,25.65,0.51,0.96,1.0,333.78,288.0,57.71,0.0,0.23,0.0,364.14,4566826.68,0.04
3725,6.16,18.0,30704.35,2306.85,8767.24,256.17,256.17,766.53,288.0,666.78,2.53,1.0,13.2,1.03,34.9,0.69,0.96,1.0,302.98,288.0,50.51,0.0,0.26,0.0,512.34,7417334.79,0.04
3726,7.18,21.0,41437.82,2700.96,9110.93,353.89,353.89,845.93,288.0,699.3,3.06,1.0,15.76,1.04,47.87,0.95,0.96,1.0,276.45,288.0,44.37,0.0,0.3,0.0,707.78,11720433.36,0.04
3727,7.2,21.0,45190.0,2820.12,9035.27,391.19,391.19,863.9,288.0,706.16,3.24,1.0,16.53,1.04,54.63,1.06,0.96,1.0,266.64,288.0,42.72,0.0,0.31,0.0,782.38,13345613.64,0.04
3728,6.2,18.0,40390.12,2620.43,8595.45,353.87,353.87,811.92,288.0,683.24,3.0,1.0,15.2,1.04,50.97,0.98,0.96,1.0,270.64,288.0,44.95,0.0,0.3,0.0,707.74,11083484.65,0.04
3729,4.17,12.0,23658.59,2039.98,7757.47,207.32,207.32,670.01,288.0,625.63,2.19,1.0,11.19,1.03,32.62,0.61,0.96,1.0,305.94,288.0,55.91,0.0,0.26,0.0,414.64,5054094.82,0.04
3730,3.14,9.0,12803.64,1632.55,7314.26,108.85,108.85,588.64,288.0,591.14,1.64,1.0,8.56,1.02,17.84,0.35,0.96,1.0,358.93,288.0,69.06,0.0,0.22,0.0,217.7,2188913.32,0.04
3731,3.13,9.0,9266.63,1475.09,7327.01,72.07,72.07,574.73,288.0,584.38,1.46,1.0,7.73,1.02,12.24,0.24,0.96,1.0,393.65,288.0,75.6,0.0,0.2,0.0,144.14,1431426.19,0.04
3732,4.15,12.0,15264.74,1661.44,7821.74,120.9,120.9,636.93,288.0,609.42,1.74,1.0,9.19,1.02,17.59,0.36,0.96,1.0,366.05,288.0,66.31,0.0,0.21,0.0,241.8,2655844.79,0.04
3733,5.15,15.0,22367.53,1949.71,8340.88,182.07,182.07,700.0,288.0,636.97,2.1,1.0,11.03,1.03,25.6,0.51,0.96,1.0,333.33,288.0,57.75,0.0,0.23,0.0,364.14,4566849.14,0.04
3734,6.16,18.0,30704.41,2306.85,8768.16,256.18,256.18,765.54,288.0,666.6,2.53,1.0,13.19,1.03,34.83,0.69,0.96,1.0,302.58,288.0,50.54,0.0,0.26,0.0,512.36,7417349.29,0.04
3735,7.18,21.0,41437.87,2700.96,9111.6,353.94,353.94,844.94,288.0,699.13,3.06,1.0,15.74,1.04,47.79,0.95,0.96,1.0,276.12,288.0,44.42,0.0,0.3,0.0,707.88,11720447.51,0.04
3736,7.2,21.0,45183.59,2821.25,9036.8,391.34,391.34,862.12,288.0,705.96,3.24,1.0,16.51,1.04,53.87,1.06,0.96,1.0,266.09,288.0,42.76,0.0,0.31,0.0,782.68,13349067.35,0.04
3737,6.2,18.0,40371.17,2622.58,8598.06,354.08,354.08,809.24,288.0,682.98,3.0,1.0,15.18,1.04,49.59,0.97,0.96,1.0,269.75,288.0,44.99,0.0,0.31,0.0,708.16,11087374.04,0.04
3738,4.17,12.0,23626.98,2043.16,7761.38,207.53,207.53,666.41,288.0,625.29,2.18,1.0,11.17,1.03,30.63,0.6,0.96,1.0,305.69,288.0,55.98,0.0,0.26,0.0,415.06,5055210.09,0.04
3739,3.14,9.0,12772.36,1634.49,7317.77,108.94,108.94,585.74,288.0,590.82,1.64,1.0,8.55,1.02,16.58,0.34,0.96,1.0,357.16,288.0,69.1,0.0,0.22,0.0,217.88,2186160.47,0.04
3740,3.13,9.0,9247.94,1476.01,7329.84,72.09,72.09,572.79,288.0,584.12,1.45,1.0,7.72,1.02,11.62,0.24,0.96,1.0,395.03,288.0,75.66,0.0,0.2,0.0,144.18,1429430.09,0.04
3741,4.15,12.0,15258.73,1661.33,7823.52,120.87,120.87,635.91,288.0,609.22,1.74,1.0,9.18,1.02,17.59,0.36,0.96,1.0,365.47,288.0,66.36,0.0,0.21,0.0,241.74,2654623.37,0.04
3742,5.15,15.0,22367.65,1949.71,8342.21,182.07,182.07,699.07,288.0,636.8,2.1,1.0,11.02,1.03,25.55,0.5,0.96,1.0,332.89,288.0,57.79,0.0,0.23,0.0,364.14,4566873.64,0.04
3743,6.16,18.0,30704.49,2306.85,8769.09,256.19,256.19,764.56,288.0,666.42,2.53,1.0,13.18,1.03,34.76,0.69,0.96,1.0,302.2,288.0,50.56,0.0,0.26,0.0,512.38,7417368.61,0.04
3744,7.18,21.0,41437.91,2700.95,9112.28,353.96,353.96,843.96,288.0,698.96,3.06,1.0,15.72,1.04,47.72,0.94,0.96,1.0,275.8,288.0,44.46,0.0,0.3,0.0,707.92,11720415.43,0.04
3745,7.2,21.0,45236.3,2820.52,9029.76,391.33,391.33,865.49,288.0,706.52,3.25,1.0,16.52,1.04,54.75,1.06,0.96,1.0,266.3,288.0,42.77,0.0,0.31,0.0,782.66,13361181.92,0.04
3746,6.2,18.0,40554.02,2617.16,8573.53,353.3,353.3,822.96,288.0,684.96,3.0,1.0,15.25,1.04,53.86,0.99,0.97,0.99,274.32,288.0,44.92,0.0,0.31,0.0,706.6,11114573.52,0.04
3747,4.17,12.0,23939.56,2033.04,7711.94,205.99,205.99,692.71,288.0,629.08,2.2,1.0,11.32,1.03,38.4,0.63,0.97,0.98,314.87,288.0,55.57,0.0,0.26,0.0,411.98,5096719.18,0.05
3748,3.14,9.0,13109.13,1621.13,7252.8,106.7,106.7,618.45,288.0,595.43,1.65,1.0,8.75,1.02,26.03,0.38,0.97,0.98,374.82,288.0,68.05,0.0,0.22,0.0,213.4,2225462.76,0.05
3749,3.13,9.0,9453.54,1467.34,7266.33,70.59,70.59,602.65,288.0,588.64,1.46,1.0,7.95,1.02,18.06,0.28,0.97,0.98,412.77,288.0,74.04,0.0,0.2,0.0,141.18,1452626.09,0.05
3750,4.15,12.0,15330.39,1657.32,7773.24,120.08,120.08,661.43,288.0,613.45,1.74,1.0,9.42,1.02,21.03,0.39,0.97,0.98,380.13,288.0,65.12,0.0,0.21,0.0,240.16,2660652.72,0.05
3751,5.15,15.0,22359.66,1949.62,8307.76,181.98,181.98,722.5,288.0,641.02,2.1,1.0,11.31,1.03,26.93,0.53,0.97,0.98,344.05,288.0,56.68,0.0,0.23,0.0,363.96,4565031.56,0.05
3752,6.16,18.0,30695.2,2306.73,8744.76,256.07,256.07,789.34,288.0,670.79,2.54,1.0,13.53,1.03,36.46,0.72,0.97,0.98,310.76,288.0,49.58,0.0,0.26,0.0,512.14,7414738.67,0.05
3753,7.18,21.0,41431.62,2700.85,9094.46,353.9,353.9,868.66,288.0,703.06,3.08,1.0,16.16,1.04,49.67,0.98,0.97,0.98,282.03,288.0,43.51,0.0,0.3,0.0,707.8,11718202.47,0.05
3754,7.2,21.0,45223.54,2823.29,9017.68,391.43,391.43,885.35,288.0,709.86,3.26,1.0,16.98,1.04,55.01,1.1,0.97,0.98,271.58,288.0,41.81,0.0,0.31,0.0,782.86,13370531.23,0.05
3755,6.2,18.0,40521.57,2622.86,8567.22,353.61,353.61,834.51,288.0,687.11,3.02,1.0,15.63,1.04,52.0,1.02,0.97,0.98,276.33,288.0,43.96,0.0,0.31,0.0,707.22,11129867.43,0.05
3756,4.17,12.0,23888.64,2041.65,7713.32,206.46,206.46,694.24,288.0,629.88,2.2,1.0,11.52,1.03,34.15,0.64,0.97,0.98,315.56,288.0,54.68,0.0,0.26,0.0,412.92,5107417.22,0.05
3757,3.14,9.0,13054.65,1626.96,7256.39,107.04,107.04,615.81,288.0,595.41,1.66,1.0,8.81,1.02,22.86,0.38,0.97,0.98,370.97,288.0,67.58,0.0,0.22,0.0,214.08,2224184.07,0.05
3758,3.13,9.0,9421.11,1470.28,7270.45,70.77,70.77,599.5,288.0,588.34,1.46,1.0,7.94,1.02,16.32,0.27,0.97,0.98,410.62,288.0,74.1,0.0,0.2,0.0,141.54,1450543.45,0.05
3759,4.15,12.0,15317.88,1657.37,7775.1,120.1,120.1,660.13,288.0,613.22,1.74,1.0,9.41,1.02,20.95,0.39,0.97,0.98,379.39,288.0,65.17,0.0,0.21,0.0,240.2,2658561.76,0.05
3760,5.15,15.0,22360.14,1949.64,8309.09,181.99,181.99,721.51,288.0,640.84,2.1,1.0,11.3,1.03,26.87,0.53,0.97,0.98,343.58,288.0,56.71,0.0,0.23,0.0,363.98,4565176.39,0.05
3761,6.16,18.0,30695.93,2306.76,8745.71,256.09,256.09,788.29,288.0,670.6,2.54,1.0,13.52,1.03,36.4,0.72,0.97,0.98,310.35,288.0,49.6,0.0,0.26,0.0,512.18,7415011.45,0.05
3762,7.18,21.0,41432.26,2700.88,9095.15,353.9,353.9,867.61,288.0,702.88,3.08,1.0,16.15,1.04,49.6,0.98,0.97,0.98,281.69,288.0,43.52,0.0,0.3,0.0,707.8,11718513.65,0.05
3763,7.2,21.0,45337.17,2827.14,9021.18,391.66,391.66,887.59,288.0,710.36,3.27,1.0,16.99,1.04,54.73,1.1,0.97,0.98,271.43,288.0,41.81,0.0,0.31,0.0,783.32,13422405.06,0.05
3764,6.2,18.0,40725.73,2630.63,8573.88,354.06,354.06,839.38,288.0,688.2,3.03,1.0,15.66,1.04,51.45,1.02,0.97,0.98,277.02,288.0,43.95,0.0,0.31,0.0,708.12,11219080.5,0.05
3765,4.17,12.0,24183.31,2053.33,7723.35,207.16,207.16,701.72,288.0,631.57,2.22,1.0,11.58,1.03,33.31,0.65,0.97,0.98,316.09,288.0,54.54,0.0,0.27,0.0,414.32,5199997.24,0.05
3766,3.14,9.0,13213.87,1634.89,7264.17,107.53,107.53,619.38,288.0,596.33,1.66,1.0,8.85,1.02,22.17,0.38,0.97,0.98,373.12,288.0,67.38,0.0,0.23,0.0,215.06,2262284.32,0.05
3767,3.13,9.0,9489.55,1474.29,7275.46,71.03,71.03,600.51,288.0,588.67,1.47,1.0,7.95,1.02,15.91,0.27,0.97,0.98,408.51,288.0,74.05,0.0,0.2,0.0,142.06,1465065.89,0.05
3768,4.15,12.0,15295.99,1657.47,7776.99,120.12,120.12,658.52,288.0,612.96,1.74,1.0,9.4,1.02,20.82,0.38,0.97,0.98,378.46,288.0,65.21,0.0,0.21,0.0,240.24,2654922.73,0.05
3769,5.15,15.0,22360.83,1949.66,8310.42,182.0,182.0,720.52,288.0,640.66,2.1,1.0,11.29,1.03,26.81,0.53,0.97,0.98,343.1,288.0,56.75,0.0,0.23,0.0,364.0,4565364.1,0.05
3770,6.16,18.0,30696.95,2306.79,8746.67,256.1,256.1,787.25,288.0,670.41,2.54,1.0,13.5,1.03,36.33,0.72,0.97,0.98,309.94,288.0,49.66,0.0,0.26,0.0,512.2,7415354.28,0.05
3771,7.18,21.0,41432.94,2700.91,9095.85,353.86,353.86,866.57,288.0,702.7,3.08,1.0,16.13,1.04,49.53,0.98,0.97,0.98,281.35,288.0,43.56,0.0,0.3,0.0,707.72,11718836.14,0.05
3772,7.2,21.0,45552.84,2829.1,9023.49,391.7,391.7,893.19,288.0,711.27,3.27,1.0,17.01,1.04,54.68,1.11,0.97,0.98,273.15,288.0,41.81,0.0,0.31,0.0,783.4,13495605.51,0.05
3773,6.2,18.0,41133.55,2634.67,8578.18,354.23,354.23,850.89,288.0,690.12,3.04,1.0,15.73,1.04,51.3,1.03,0.97,0.98,279.9,288.0,43.87,0.0,0.31,0.0,708.46,11348828.6,0.05
3774,4.17,12.0,24783.63,2059.47,7729.87,207.51,207.51,719.14,288.0,634.49,2.24,1.0,11.7,1.03,33.05,0.67,0.97,0.98,321.04,288.0,54.23,0.0,0.27,0.0,415.02,5345015.94,0.05
3775,3.14,9.0,13576.21,1639.26,7269.69,107.82,107.82,629.49,288.0,598.09,1.67,1.0,8.92,1.02,21.79,0.4,0.97,0.98,376.94,288.0,67.05,0.0,0.23,0.0,215.64,2330531.66,0.05
3776,3.13,9.0,9659.41,1476.56,7279.36,71.19,71.19,604.75,288.0,589.43,1.47,1.0,7.98,1.02,15.64,0.28,0.97,0.98,411.39,288.0,73.86,0.0,0.2,0.0,142.38,1493586.29,0.05
3777,4.15,12.0,15273.92,1657.65,7778.93,120.14,120.14,656.86,288.0,612.71,1.74,1.0,9.38,1.02,20.66,0.38,0.97,0.98,377.51,288.0,65.32,0.0,0.21,0.0,240.28,2651379.95,0.05
3778,5.15,15.0,22361.98,1949.69,8311.77,181.99,181.99,719.54,288.0,640.48,2.1,1.0,11.27,1.03,26.76,0.53,0.97,0.98,342.64,288.0,56.83,0.0,0.23,0.0,363.98,4565669.15,0.05
3779,6.16,18.0,30698.65,2306.84,8747.65,256.11,256.11,786.22,288.0,670.23,2.54,1.0,13.48,1.03,36.25,0.72,0.97,0.98,309.54,288.0,49.72,0.0,0.26,0.0,512.22,7415925.68,0.05
3780,7.18,21.0,41434.29,2700.95,9096.58,353.91,353.91,865.53,288.0,702.52,3.08,1.0,16.11,1.04,49.46,0.98,0.97,0.98,281.02,288.0,43.61,0.0,0.3,0.0,707.82,11719391.54,0.05
3781,7.2,21.0,45826.57,2826.88,9023.04,391.64,391.64,900.25,288.0,712.14,3.28,1.0,17.04,1.04,54.64,1.11,0.97,0.98,274.47,288.0,41.79,0.0,0.31,0.0,783.28,13566047.83,0.05
3782,6.2,18.0,41683.15,2630.17,8576.85,354.03,354.03,866.22,288.0,692.05,3.06,1.0,15.81,1.04,51.3,1.05,0.97,0.98,283.08,288.0,43.77,0.0,0.31,0.0,708.06,11480821.61,0.05
3783,4.17,12.0,25609.24,2052.72,7727.9,207.15,207.15,742.7,288.0,637.46,2.27,1.0,11.83,1.03,33.08,0.69,0.97,0.98,327.18,288.0,53.89,0.0,0.27,0.0,414.3,5504970.83,0.05
3784,3.14,9.0,14132.5,1634.75,7269.37,107.57,107.57,645.14,288.0,600.03,1.69,1.0,9.0,1.02,21.78,0.41,0.97,0.98,381.74,288.0,66.67,0.0,0.22,0.0,215.14,2419351.43,0.05
3785,3.13,9.0,9939.32,1474.3,7280.29,71.07,71.07,612.2,288.0,590.32,1.48,1.0,8.02,1.02,15.6,0.29,0.97,0.98,413.65,288.0,73.61,0.0,0.2,0.0,142.14,1534515.07,0.05
3786,4.15,12.0,15278.91,1657.67,7780.79,120.17,120.17,656.08,288.0,612.55,1.74,1.0,9.37,1.02,20.6,0.38,0.97,0.98,377.06,288.0,65.37,0.0,0.21,0.0,240.34,2652278.16,0.05
3787,5.15,15.0,22364.61,1949.75,8313.17,182.05,182.05,718.58,288.0,640.3,2.1,1.0,11.26,1.03,26.7,0.53,0.97,0.98,342.18,288.0,56.87,0.0,0.23,0.0,364.1,4566346.64,0.05
3788,6.16,18.0,30702.46,2306.92,8748.69,256.19,256.19,785.2,288.0,670.04,2.54,1.0,13.47,1.03,36.19,0.72,0.97,0.98,309.13,288.0,49.74,0.0,0.26,0.0,512.38,7417103.28,0.05
3789,7.18,21.0,41436.8,2701.0,9097.33,353.94,353.94,864.51,288.0,702.34,3.08,1.0,16.09,1.04,49.39,0.98,0.97,0.98,280.69,288.0,43.65,0.0,0.3,0.0,707.88,11720318.43,0.05
3790,7.2,21.0,45922.89,2821.59,9020.54,391.33,391.33,903.28,288.0,712.2,3.28,1.0,17.03,1.04,56.75,1.11,0.97,0.98,275.39,288.0,41.82,0.0,0.31,0.0,782.66,13569121.67,0.05
3791,6.2,18.0,41844.68,2619.79,8571.56,353.41,353.41,872.38,288.0,692.21,3.06,1.0,15.81,1.04,55.44,1.06,0.97,0.98,285.09,288.0,43.78,0.0,0.31,0.0,706.82,11479827.15,0.05
3792,4.17,12.0,25837.17,2037.26,7720.06,206.29,206.29,752.0,288.0,637.72,2.27,1.0,11.84,1.03,39.23,0.71,0.97,0.98,331.28,288.0,53.86,0.0,0.26,0.0,412.58,5512137.2,0.05
3793,3.14,9.0,14236.82,1624.84,7265.42,107.06,107.06,649.51,288.0,599.94,1.69,1.0,9.0,1.02,25.61,0.43,0.97,0.98,384.33,288.0,66.66,0.0,0.22,0.0,214.12,2422435.45,0.05
3794,3.13,9.0,9977.21,1469.47,7279.48,70.85,70.85,613.48,288.0,590.13,1.48,1.0,8.01,1.02,17.42,0.29,0.97,0.98,414.51,288.0,73.67,0.0,0.2,0.0,141.7,1535318.4,0.05
3795,4.15,12.0,15250.71,1657.92,7782.77,120.21,120.21,654.23,288.0,612.25,1.74,1.0,9.36,1.02,20.4,0.38,0.97,0.98,375.99,288.0,65.41,0.0,0.21,0.0,240.42,2647782.16,0.05
3796,5.15,15.0,22365.22,1949.75,8314.48,182.03,182.03,717.61,288.0,640.12,2.1,1.0,11.25,1.03,26.64,0.53,0.97,0.98,341.72,288.0,56.9,0.0,0.23,0.0,364.06,4566471.19,0.05
3797,6.16,18.0,30703.31,2306.93,8749.61,256.14,256.14,784.18,288.0,669.86,2.54,1.0,13.46,1.03,36.12,0.72,0.97,0.98,308.73,288.0,49.77,0.0,0.26,0.0,512.28,7417340.78,0.05
3798,7.18,21.0,41437.4,2701.01,9098.01,353.89,353.89,863.49,288.0,702.16,3.08,1.0,16.08,1.04,49.31,0.98,0.97,0.98,280.35,288.0,43.67,0.0,0.3,0.0,707.78,11720531.54,0.05
3799,7.2,21.0,45692.93,2818.36,9019.1,391.12,391.12,897.02,288.0,711.16,3.28,1.0,16.97,1.04,58.03,1.11,0.97,0.98,273.48,288.0,41.91,0.0,0.31,0.0,782.24,13485718.56,0.05
3800,6.2,18.0,41373.21,2613.47,8568.38,353.09,353.09,860.54,288.0,690.26,3.04,1.0,15.71,1.04,57.98,1.05,0.97,0.98,283.07,288.0,43.94,0.0,0.31,0.0,706.18,11323100.31,0.05
3801,4.17,12.0,25124.31,2027.86,7715.36,205.82,205.82,734.57,288.0,634.87,2.24,1.0,11.7,1.03,43.04,0.69,0.97,0.98,327.93,288.0,54.26,0.0,0.26,0.0,411.64,5335323.16,0.05
3802,3.14,9.0,13743.38,1618.83,7263.44,106.81,106.81,637.0,288.0,597.92,1.67,1.0,8.9,1.02,27.95,0.41,0.97,0.98,381.44,288.0,67.18,0.0,0.22,0.0,213.62,2329825.62,0.05
3803,3.13,9.0,9725.04,1466.54,7279.63,70.73,70.73,606.61,288.0,589.02,1.47,1.0,7.96,1.02,18.51,0.28,0.97,0.98,412.66,288.0,74.0,0.0,0.2,0.0,141.46,1493529.92,0.05
3804,4.15,12.0,15239.91,1658.07,7784.69,120.24,120.24,652.95,288.0,612.04,1.74,1.0,9.35,1.02,20.24,0.38,0.97,0.98,375.26,288.0,65.46,0.0,0.21,0.0,240.48,2646146.48,0.05
3805,5.15,15.0,22365.32,1949.75,8315.79,182.04,182.04,716.63,288.0,639.94,2.1,1.0,11.24,1.03,26.59,0.53,0.97,0.98,341.25,288.0,56.93,0.0,0.23,0.0,364.08,4566491.6,0.05
3806,6.16,18.0,30703.38,2306.93,8750.53,256.16,256.16,783.15,288.0,669.67,2.54,1.0,13.44,1.03,36.05,0.72,0.97,0.98,308.33,288.0,49.83,0.0,0.26,0.0,512.32,7417357.69,0.05
3807,7.18,21.0,41437.42,2701.01,9098.68,353.92,353.92,862.45,288.0,701.98,3.08,1.0,16.06,1.04,49.23,0.98,0.97,0.98,280.02,288.0,43.71,0.0,0.3,0.0,707.84,11720537.19,0.05
3808,7.2,21.0,45439.63,2817.72,9019.22,391.08,391.08,888.95,288.0,709.94,3.27,1.0,16.91,1.04,57.88,1.1,0.97,0.98,271.85,288.0,41.98,0.0,0.31,0.0,782.16,13407914.72,0.05
3809,6.2,18.0,40862.07,2612.29,8568.32,353.01,353.01,845.31,288.0,687.99,3.03,1.0,15.6,1.04,57.69,1.03,0.97,0.98,278.98,288.0,44.1,0.0,0.3,0.0,706.02,11178161.23,0.05
3810,4.17,12.0,24355.26,2026.13,7715.34,205.72,205.72,712.15,288.0,631.54,2.22,1.0,11.55,1.03,42.63,0.66,0.97,0.98,320.79,288.0,54.68,0.0,0.26,0.0,411.44,5167597.69,0.05
3811,3.14,9.0,13223.16,1617.84,7264.54,106.77,106.77,621.52,288.0,595.62,1.66,1.0,8.8,1.02,27.53,0.39,0.97,0.98,374.41,288.0,67.68,0.0,0.22,0.0,213.54,2240265.24,0.05
3812,3.13,9.0,9462.72,1466.1,7281.32,70.72,70.72,598.35,288.0,587.78,1.46,1.0,7.9,1.02,18.25,0.27,0.97,0.98,409.83,288.0,74.4,0.0,0.2,0.0,141.44,1452807.93,0.05
3813,4.15,12.0,15235.55,1658.17,7786.58,120.26,120.26,651.87,288.0,611.86,1.74,1.0,9.34,1.02,20.11,0.38,0.97,0.98,374.64,288.0,65.51,0.0,0.21,0.0,240.52,2645548.99,0.05
3814,5.15,15.0,22365.45,1949.74,8317.11,182.03,182.03,715.66,288.0,639.76,2.1,1.0,11.23,1.03,26.53,0.52,0.97,0.98,340.79,288.0,56.97,0.0,0.23,0.0,364.06,4566494.72,0.05
3815,6.16,18.0,30703.39,2306.92,8751.45,256.15,256.15,782.11,288.0,669.48,2.54,1.0,13.43,1.03,35.98,0.71,0.97,0.98,307.92,288.0,49.85,0.0,0.26,0.0,512.3,7417327.95,0.05
3816,7.18,21.0,41437.43,2701.0,9099.36,353.93,353.93,861.41,288.0,701.8,3.08,1.0,16.04,1.04,49.14,0.97,0.97,0.98,279.68,288.0,43.75,0.0,0.3,0.0,707.86,11720496.63,0.05
3817,7.2,21.0,45254.06,2818.86,9020.52,391.19,391.19,881.51,288.0,708.84,3.26,1.0,16.85,1.04,56.88,1.09,0.97,0.98,270.4,288.0,42.07,0.0,0.31,0.0,782.38,13358560.86,0.05
3818,6.2,18.0,40478.11,2614.8,8570.68,353.26,353.26,831.01,288.0,685.91,3.01,1.0,15.5,1.04,55.65,1.01,0.97,0.98,276.08,288.0,44.25,0.0,0.31,0.0,706.52,11083765.29,0.05
3819,4.17,12.0,23772.62,2030.01,7718.97,206.04,206.04,690.99,288.0,628.47,2.2,1.0,11.42,1.03,39.56,0.64,0.97,0.98,314.09,288.0,55.03,0.0,0.26,0.0,412.08,5053634.67,0.05
3820,3.14,9.0,12813.14,1620.82,7268.22,107.05,107.05,606.34,288.0,593.42,1.65,1.0,8.71,1.02,25.26,0.37,0.97,0.98,367.48,288.0,68.13,0.0,0.22,0.0,214.1,2174798.26,0.05
3821,3.13,9.0,9251.19,1467.7,7284.32,70.87,70.87,590.09,288.0,586.57,1.46,1.0,7.85,1.02,17.02,0.27,0.97,0.98,404.17,288.0,74.72,0.0,0.2,0.0,141.74,1421881.86,0.05
3822,4.15,12.0,15222.7,1658.4,7788.55,120.3,120.3,650.48,288.0,611.63,1.74,1.0,9.33,1.02,19.93,0.38,0.97,0.98,373.84,288.0,65.56,0.0,0.21,0.0,240.6,2643684.32,0.05
3823,5.15,15.0,22365.56,1949.74,8318.42,182.04,182.04,714.68,288.0,639.57,2.1,1.0,11.22,1.03,26.47,0.52,0.97,0.98,340.32,288.0,57.0,0.0,0.23,0.0,364.08,4566517.18,0.05
3824,6.16,18.0,30703.45,2306.91,8752.37,256.17,256.17,781.08,288.0,669.28,2.54,1.0,13.42,1.03,35.91,0.71,0.97,0.98,307.51,288.0,49.87,0.0,0.26,0.0,512.34,7417310.29,0.05
3825,7.18,21.0,41437.4,2701.0,9100.03,353.97,353.97,860.38,288.0,701.62,3.08,1.0,16.02,1.04,49.06,0.97,0.97,0.98,279.34,288.0,43.8,0.0,0.3,0.0,707.94,11720488.14,0.05
3826,7.2,21.0,45190.03,2822.1,9023.36,391.43,391.43,876.53,288.0,708.28,3.26,1.0,16.81,1.04,54.84,1.08,0.97,0.98,268.87,288.0,42.13,0.0,0.31,0.0,782.86,13354992.44,0.05
3827,6.2,18.0,40340.74,2621.52,8576.11,353.7,353.7,821.75,288.0,684.93,3.01,1.0,15.45,1.04,51.52,0.99,0.97,0.98,273.01,288.0,44.33,0.0,0.31,0.0,707.4,11074538.92,0.05
3828,4.17,12.0,23561.88,2040.21,7727.22,206.69,206.69,677.43,288.0,627.06,2.19,1.0,11.35,1.03,33.35,0.62,0.97,0.98,309.33,288.0,55.25,0.0,0.26,0.0,413.38,5034002.53,0.05
3829,3.14,9.0,12657.05,1627.99,7274.97,107.53,107.53,596.43,288.0,592.36,1.64,1.0,8.66,1.02,20.86,0.36,0.97,0.98,363.68,288.0,68.4,0.0,0.22,0.0,215.06,2157808.24,0.05
3830,3.13,9.0,9168.48,1471.4,7288.86,71.13,71.13,584.52,288.0,585.94,1.45,1.0,7.83,1.02,14.73,0.26,0.97,0.98,403.12,288.0,74.83,0.0,0.2,0.0,142.26,1412722.01,0.05
3831,4.15,12.0,15213.46,1658.63,7790.53,120.35,120.35,649.21,288.0,611.42,1.74,1.0,9.32,1.02,19.73,0.38,0.97,0.98,373.11,288.0,65.6,0.0,0.21,0.0,240.7,2642446.06,0.05
3832,5.15,15.0,22365.66,1949.74,8319.73,182.05,182.05,713.72,288.0,639.39,2.1,1.0,11.21,1.03,26.42,0.52,0.97,0.98,339.87,288.0,57.04,0.0,0.23,0.0,364.1,4566537.6,0.05
3833,6.16,18.0,30703.47,2306.91,8753.29,256.18,256.18,780.05,288.0,669.1,2.54,1.0,13.4,1.03,35.84,0.71,0.97,0.98,307.11,288.0,49.93,0.0,0.26,0.0,512.36,7417315.12,0.05
3834,7.18,21.0,41437.42,2701.0,9100.71,353.96,353.96,859.35,288.0,701.44,3.08,1.0,16.0,1.04,48.97,0.97,0.97,0.98,279.01,288.0,43.84,0.0,0.3,0.0,707.92,11720493.8,0.05
3835,7.2,21.0,45272.42,2825.6,9026.59,391.6,391.6,877.73,288.0,708.62,3.26,1.0,16.82,1.04,54.15,1.08,0.97,0.98,269.24,288.0,42.13,0.0,0.31,0.0,783.2,13395934.33,0.05
